County,State,ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP,MUAP_Code,IMU_Score,Pct_Pop_Below_Poverty,Poverty_IMU_Score,Pct_Pop_65_Over,Pop_65_Over_IMU_Score,Infant_Mortality_Rate,Infant_Mortality_IMU_Score,MUAP_Designation_Population,MUAP_Total_Resident_Population,Providers_per_1000,Provider_Ratio_per_1000,Provider_Ratio_IMU_Score,_merge,is_mua
Abbeville County,South Carolina,385579,1109.3,250.8,1111.5,251.7,1090.6,190.3,305.6,40.0,700.0,294.8,0.0,0.0,695.0,356.2,608.8,658.3,40.0,405.3,0.0,481.0,606.8,65.1,64.6,100.0,5.9,0.0,86.4,64.5,73133.0,7287.0,27939.0,2428.0,536.0,7.0,69.0,25.0,0.0,0.0,1017.0,323.0,385579,9000380546,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Acadia Parish,Louisiana,1058113,1223.0,224.7,1225.9,213.7,783.7,54.6,365.7,165.7,335.3,123.5,0.0,0.0,438.1,116.5,789.8,543.5,467.9,243.6,0.0,513.8,789.8,102.6,106.8,16.1,31.4,0.0,18.8,102.3,83952.0,5750.0,19406.0,2422.0,76.0,26.0,330.0,17.0,0.0,0.0,761.0,381.0,1058113,22001,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Accomack County,Virginia,795294,2454.6,699.6,2464.0,706.2,1468.0,248.7,287.5,166.7,784.0,310.0,0.0,0.0,567.6,164.2,1235.8,1417.7,387.5,744.4,0.0,993.2,1234.6,141.8,110.7,0.0,100.0,0.0,18.5,143.3,19804.0,2194.0,9715.0,909.0,325.0,6.0,77.0,2.0,0.0,0.0,385.0,190.0,795294,51001,50.5,19.0,14.9,22.5,8.0,9.724,24.8,32325.0,0.0,0.195,0.0,2.8,both,1
Ada County,Idaho,1590064,1631.5,722.4,1637.4,727.0,1349.5,385.0,1284.5,360.0,1469.7,1001.4,982.3,462.6,1346.8,418.4,1071.5,1130.4,922.7,1069.2,735.1,1198.6,1067.6,52.9,62.4,103.39999999999999,30.6,142.8,77.5,53.9,427066.0,29572.0,5966.0,763.0,12105.0,847.0,2455.0,713.0,843.0,362.0,12271.0,3002.0,1590064,160010027306,603.8,98.60000000000001,98.4,76.2,108.5,33.0,156.0,0.0,30060.0,0.21,0.0,4.1,both,1
Adair County,Iowa,706032,1350.2,261.4,1350.2,261.5,400.0,238.3,100.0,0.0,400.0,100.0,100.0,0.0,700.0,120.0,884.5,381.4,0.0,500.0,150.0,412.6,886.0,55.2,0.0,0.0,0.0,0.0,96.9,53.8,28316.0,1319.0,219.0,0.0,145.0,0.0,1.0,12.0,15.0,2.0,110.0,48.0,706032,5700578988,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Adair County,Kentucky,511711,1031.4,197.8,1031.5,197.6,614.8,78.69999999999999,601.5,14.5,278.7,117.30000000000001,100.0,0.0,152.7,22.7,660.8,124.30000000000001,279.9,92.19999999999999,0.0,349.5,661.0,70.0,239.0,0.0,0.0,100.0,28.6,69.4,73303.0,5420.0,1743.0,23.0,299.0,46.0,217.0,3.0,120.0,3.0,331.0,229.0,511711,42002,114.1,46.2,24.5,35.8,27.200000000000003,9.8,50.8,23883.0,17492.0,0.544,0.0,11.399999999999999,both,1
Adair County,Oklahoma,374167,429.6,72.4,431.8,73.0,292.9,0.0,411.6,42.9,332.4,21.8,100.0,0.0,374.5,8.0,223.4,270.0,257.1,252.1,200.0,249.70000000000002,222.3,31.9,30.0,26.200000000000003,0.0,0.0,0.0,32.0,8226.0,1457.0,80.0,6.0,265.0,79.0,6591.0,3022.0,4.0,7.0,650.0,161.0,374167,88003179814,280.8,91.60000000000001,48.0,51.2,76.0,47.5,92.0,35844.0,5209.0,0.8,0.0,18.0,both,1
Adams County,Colorado,3129214,3381.3,1333.0,3529.8,1463.5,3174.0,1011.1999999999999,3137.3,755.3,3025.0,1502.7,1754.0,819.4,2592.0,550.8,2569.8,2304.7,2853.3,2406.0,1698.6,2435.2,2506.1,139.8,227.79999999999998,150.9,89.2,34.9,199.7,131.4,567312.0,46247.0,60914.0,6464.0,36872.0,2819.0,9227.0,1852.0,1474.0,301.0,70943.0,21186.0,3129214,128016143008,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Adams County,Iowa,508445,922.2,162.6,923.8,163.9,190.9,0.0,200.0,100.0,200.0,133.3,0.0,0.0,555.4,100.0,585.8,100.4,200.0,100.0,100.0,183.2,583.0,18.0,0.0,0.0,0.0,0.0,96.9,18.2,15540.0,950.0,23.0,4.0,76.0,5.0,44.0,0.0,12.0,0.0,261.0,31.0,508445,3800787035,107.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Adams County,Idaho,501726,570.2,133.1,570.8,133.3,200.0,100.0,200.0,100.0,0.0,0.0,0.0,0.0,178.1,141.9,258.5,0.0,75.0,100.0,0.0,286.4,258.3,54.8,0.0,0.0,0.0,0.0,0.0,55.0,10058.0,1455.0,14.0,0.0,3.0,0.0,19.0,9.0,0.0,0.0,15.0,37.0,501726,32007916303,183.4,31.2,34.8,30.4,35.6,0.0,52.0,7162.0,7962.0,0.1,0.0,0.0,both,1
Adams County,Illinois,1496181,2219.1,490.6,2219.0,490.1,381.6,10.5,380.6,100.0,258.9,108.10000000000001,400.0,100.0,987.8,295.5,1499.7,403.6,258.8,397.3,200.0,719.8,1500.3,107.4,14.3,0.0,112.1,0.0,60.0,107.4,62312.0,3406.0,2406.0,69.0,493.0,8.0,36.0,0.0,100.0,0.0,201.0,49.0,1496181,88405271704,407.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Adams County,Indiana,468022,876.6,170.5,875.9,171.4,380.0,60.0,200.0,16.7,286.1,203.4,0.0,0.0,258.2,27.7,621.2,247.0,37.5,235.1,0.0,394.4,621.9,28.3,114.3,25.0,0.0,0.0,30.0,28.4,50871.0,9129.0,351.0,113.0,102.0,0.0,9.0,0.0,0.0,0.0,696.0,83.0,468022,18001,61.1,16.3,16.2,13.1,18.9,7.5,26.0,12951.0,13151.0,0.01,0.0,0.0,both,1
Adams County,Mississippi,78781,174.6,35.3,174.8,35.4,148.7,29.200000000000003,100.0,0.0,97.0,62.4,0.0,0.0,22.9,0.0,93.6,79.5,0.0,90.9,0.0,9.5,92.80000000000001,9.5,16.2,0.0,0.0,0.0,0.0,9.8,11185.0,1119.0,13711.0,2568.0,256.0,0.0,1.0,0.0,0.0,0.0,695.0,0.0,78781,28001,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,1
Adams County,North Dakota,293146,454.7,91.2,456.5,91.80000000000001,63.6,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,290.7,100.0,158.3,200.0,0.0,57.1,291.3,4.7,0.0,0.0,0.0,0.0,0.0,4.8,3210.0,359.0,11.0,0.0,18.0,0.0,16.0,1.0,3.0,0.0,7.0,0.0,293146,38001,55.0,8.6,21.0,22.1,8.0,0.0,26.0,2244.0,0.0,0.0,0.0,0.0,both,1
