STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
South Carolina,Abbeville County,84.4076923076923,18.115384615384617,85.10769230769232,18.23846153846154,80.28461538461539,11.584615384615384,73.88,6.36,98.2,83.56,100.0,0.0,41.6,15.27142857142857,49.50769230769231,54.24615384615385,16.919999999999998,40.300000000000004,100.0,70.35555555555555,49.57692307692308,5.361538461538462,8.484615384615385,0.0,1.6,0.0,9.075,5.346153846153846,74994.0,9242.0,27863.0,3974.0,797.0,10.0,91.0,47.0,18.0,31.0,480.0,242.0,Abbeville County,South Carolina,2.0
Louisiana,Acadia Parish,79.27499999999999,14.58125,79.71249999999999,14.4875,71.70833333333333,5.791666666666667,85.71428571428571,6.242857142857143,80.0,41.82,,,64.27000000000001,10.0,53.725,43.34615384615385,51.24285714285714,39.271428571428565,,52.32000000000001,53.54375,7.03125,8.433333333333334,16.666666666666668,18.775,,14.757142857142856,7.18125,97467.0,11235.0,26212.0,3684.0,118.0,10.0,282.0,32.0,0.0,0.0,261.0,455.0,Acadia Parish,Louisiana,1.0
Virginia,Accomack County,85.27941176470588,21.073529411764707,86.78823529411765,22.13235294117647,72.30416666666666,8.229166666666666,66.66666666666667,16.666666666666668,100.0,31.457142857142856,,,50.7875,15.275,48.14705882352941,58.1,75.0,46.114285714285714,,66.5875,48.13235294117647,3.4093750000000003,7.213636363636363,0.0,0.0,,4.085714285714286,3.415625,20312.0,3542.0,8872.0,1789.0,253.0,62.0,160.0,15.0,0.0,0.0,85.0,194.0,Accomack County,Virginia,1.0
Idaho,Ada County,95.3529411764706,38.258823529411764,96.05882352941177,39.00588235294118,88.87333333333332,28.366666666666667,86.5375,22.46875,91.68823529411765,46.300000000000004,100.0,18.69,78.0764705882353,17.558823529411764,62.55882352941177,55.71764705882353,64.01875,60.8235294117647,56.875,74.38235294117646,62.48823529411764,3.735294117647059,14.34375,3.5,2.6125,4.3875,1.711764705882353,3.664705882352941,404802.0,36389.0,5832.0,698.0,10921.0,895.0,2167.0,367.0,790.0,211.0,7019.0,1672.0,Ada County,Idaho,10.0
Iowa,Adair County,94.19285714285715,17.964285714285715,94.5,17.964285714285715,73.24,20.0,0.0,0.0,58.714285714285715,16.8,,,60.0,0.0,62.871428571428574,43.839999999999996,0.0,73.65714285714286,100.0,65.63333333333334,62.94285714285714,3.9214285714285713,15.633333333333333,,0.0,0.0,33.333333333333336,3.85,28445.0,1340.0,75.0,25.0,238.0,185.0,3.0,9.0,19.0,0.0,53.0,12.0,Adair County,Iowa,3.0
Kentucky,Adair County,77.15,14.169999999999998,77.88,14.219999999999999,84.82000000000001,1.08,66.66666666666667,13.283333333333333,75.0,28.025,,,55.75,2.75,46.53,22.74,27.78333333333333,75.325,,47.46666666666666,46.54,5.630000000000001,16.924999999999997,0.0,0.0,,0.0,5.67,50954.0,3413.0,930.0,48.0,144.0,121.0,205.0,4.0,0.0,0.0,270.0,271.0,Adair County,Kentucky,1.0
Missouri,Adair County,86.9,18.533333333333335,86.80000000000001,18.533333333333335,72.85,0.4,67.7,13.95,100.0,58.94,66.66666666666667,33.333333333333336,75.0,0.0,55.333333333333336,24.675,48.875,52.660000000000004,66.66666666666667,79.55,55.28888888888889,4.377777777777777,11.55,0.0,0.0,0.0,0.0,4.411111111111111,24584.0,2226.0,469.0,166.0,580.0,29.0,58.0,0.0,59.0,0.0,105.0,0.0,,,
Oklahoma,Adair County,85.39999999999999,18.76666666666667,86.10000000000001,18.816666666666666,96.66666666666667,0.0,82.95,16.116666666666664,70.4,20.64,97.5,0.0,57.925,2.125,43.01666666666667,34.375,50.36666666666667,69.92,95.83333333333333,57.849999999999994,42.71666666666667,4.566666666666666,37.5,6.683333333333334,0.0,0.0,1.5999999999999999,4.483333333333333,9181.0,1912.0,44.0,6.0,207.0,29.0,6804.0,4113.0,33.0,18.0,457.0,140.0,Adair County,Oklahoma,4.0
Colorado,Adams County,85.6108108108108,30.16216216216216,92.77837837837838,35.31891891891892,89.503125,33.571875,86.77222222222223,21.805555555555557,81.1969696969697,36.30909090909091,87.93333333333332,33.26190476190476,69.82972972972972,15.072972972972973,66.18648648648649,66.128125,69.65555555555555,68.82727272727273,65.94090909090909,68.50810810810812,65.37567567567568,3.5945945945945947,3.6129032258064515,2.152941176470588,3.65625,5.666666666666667,3.4513513513513514,3.447222222222222,631248.0,64734.0,51101.0,4235.0,32538.0,2637.0,7325.0,1100.0,979.0,133.0,43820.0,12214.0,Adams County,Colorado,16.0
Idaho,Adams County,92.60000000000001,19.5,92.76666666666667,20.05,100.0,0.0,100.0,22.5,100.0,84.2,,,91.65,41.65,45.9,0.0,55.675000000000004,17.2,0.0,8.35,46.53333333333333,5.366666666666667,100.0,0.0,0.0,100.0,0.0,5.466666666666666,9884.0,1214.0,18.0,0.0,29.0,0.0,103.0,0.0,0.0,8.0,6.0,0.0,Adams County,Idaho,2.0
Illinois,Adams County,92.22608695652173,20.547826086956523,92.32173913043479,20.48695652173913,70.42,1.6600000000000001,85.6,0.0,85.71428571428571,32.971428571428575,100.0,0.0,76.26,11.879999999999999,63.27391304347826,61.9,47.35,52.47777777777778,50.0,67.1,63.356521739130436,3.6652173913043478,4.8,0.0,14.285714285714286,0.0,3.85,3.539130434782609,63585.0,3156.0,2426.0,166.0,528.0,12.0,300.0,0.0,13.0,0.0,119.0,0.0,Adams County,Illinois,7.0
Indiana,Adams County,85.75,16.11,85.7,16.27,94.95,20.475,100.0,0.0,90.92,74.94,,,60.949999999999996,0.7999999999999999,63.379999999999995,38.67999999999999,60.0,45.8,,56.15714285714286,63.42,3.1,19.033333333333335,0.0,11.9,,13.299999999999999,3.12,53035.0,8218.0,485.0,87.0,205.0,5.0,86.0,0.0,0.0,0.0,560.0,199.0,Adams County,Indiana,1.0
Iowa,Adams County,92.61,16.19,92.87,16.36,100.0,0.0,100.0,0.0,30.166666666666668,7.5,,,50.0,0.0,56.17999999999999,70.95,66.66666666666667,65.63333333333334,100.0,37.480000000000004,55.779999999999994,3.2,23.45,33.333333333333336,10.666666666666666,0.0,30.425,3.25,16220.0,1033.0,36.0,23.0,205.0,28.0,27.0,0.0,19.0,0.0,117.0,93.0,Adams County,Iowa,2.0
Mississippi,Adams County,78.1,17.0,80.05000000000001,18.45,81.3,13.850000000000001,100.0,0.0,71.4,22.6,,,26.0,0.0,42.8,44.95,0.0,51.2,,0.0,44.55,4.75,12.4,100.0,0.0,,,4.1,10449.0,1519.0,15879.0,2810.0,80.0,99.0,0.0,34.0,0.0,0.0,0.0,0.0,Adams County,Mississippi,1.0
Nebraska,Adams County,94.63571428571429,22.571428571428573,95.32857142857142,22.785714285714285,95.6,0.0,51.779999999999994,0.0,54.575,25.7125,60.0,0.0,54.68571428571429,16.642857142857142,64.99285714285715,64.75,37.739999999999995,51.12222222222223,43.75,75.91428571428571,64.75714285714285,4.064285714285714,0.0,0.0,16.666666666666668,0.0,3.483333333333333,4.178571428571429,32789.0,2182.0,139.0,48.0,397.0,23.0,113.0,60.0,19.0,0.0,679.0,435.0,Adams County,Nebraska,1.0
North Dakota,Adams County,90.47999999999999,18.34,90.64,18.380000000000003,100.0,0.0,100.0,50.0,89.5,47.4,100.0,0.0,50.0,0.0,56.67999999999999,52.1,81.8,100.0,0.0,100.0,56.7,1.8800000000000001,0.0,0.0,0.0,,0.0,1.8800000000000001,3285.0,388.0,48.0,0.0,58.0,0.0,22.0,0.0,1.0,0.0,43.0,0.0,,,
Ohio,Adams County,81.28333333333333,12.691666666666668,81.29166666666667,12.666666666666666,97.82000000000001,16.119999999999997,95.6,0.0,100.0,100.0,,,66.66666666666667,33.333333333333336,53.69166666666666,25.816666666666666,45.6,100.0,,33.333333333333336,53.6,4.408333333333333,33.325,0.0,0.0,,0.0,4.333333333333333,32549.0,2893.0,144.0,0.0,0.0,8.0,42.0,0.0,0.0,0.0,22.0,12.0,Adams County,Ohio,1.0
Pennsylvania,Adams County,89.51764705882353,23.48235294117647,90.34117647058824,23.829411764705885,90.625,9.5,82.0,27.28,83.1,31.03076923076923,0.0,0.0,61.46,5.78,64.15294117647059,51.96,72.38333333333334,64.00769230769231,100.0,66.36875,63.9470588235294,4.0058823529411764,0.9923076923076923,0.0,2.8636363636363638,0.0,4.546666666666667,3.5352941176470587,157405.0,8472.0,2336.0,300.0,1683.0,118.0,198.0,40.0,16.0,0.0,2457.0,767.0,Adams County,Pennsylvania,1.0
South Dakota,Adams County,92.8,19.1,92.8,19.1,,,27.8,0.0,,,,,50.0,0.0,64.2,,38.9,,,100.0,63.9,4.1,,0.0,,,0.0,4.1,1498.0,160.0,0.0,0.0,0.0,0.0,59.0,11.0,0.0,0.0,4.0,0.0,,,
Washington,Adams County,88.47500000000001,21.59166666666667,92.83333333333333,23.40833333333333,63.92,0.5,75.04444444444444,16.133333333333333,55.88333333333333,16.983333333333334,100.0,0.0,53.95,5.25,50.65833333333333,47.78,31.299999999999997,35.86666666666667,100.0,50.4875,49.458333333333336,4.266666666666667,0.0,0.0,21.433333333333334,0.0,5.6499999999999995,3.2916666666666665,19397.0,2409.0,200.0,27.0,334.0,32.0,511.0,361.0,41.0,0.0,6314.0,2150.0,Adams County,Washington,1.0
