STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,County,State,MUAP_counts
South Carolina,Abbeville County,85.65384615384616,18.953846153846154,86.10769230769232,18.884615384615383,82.42307692307692,14.538461538461538,66.33333333333333,18.416666666666668,99.11666666666667,55.76666666666667,,,71.76666666666667,30.400000000000002,48.06923076923077,53.12307692307692,28.066666666666666,39.785714285714285,,57.33,47.95384615384615,6.023076923076923,5.507692307692308,33.333333333333336,2.3,,7.762499999999999,6.038461538461538,73231.0,8127.0,28247.0,2707.0,607.0,0.0,119.0,42.0,0.0,0.0,539.0,184.0,Abbeville County,South Carolina,2.0
Louisiana,Acadia Parish,82.9,15.28125,83.275,15.25625,69.94166666666666,7.983333333333333,76.47999999999999,20.759999999999998,87.5,50.0,100.0,0.0,75.61,26.3,52.2,43.13076923076923,60.449999999999996,54.08,0.0,58.260000000000005,52.25,8.8625,10.441666666666666,16.666666666666668,9.866666666666667,,12.857142857142858,8.95625,97042.0,7380.0,24554.0,2973.0,110.0,0.0,401.0,34.0,12.0,0.0,874.0,463.0,Acadia Parish,Louisiana,1.0
Virginia,Accomack County,89.36999999999999,26.976666666666667,89.76333333333334,27.486666666666668,56.39090909090908,6.304545454545454,75.0,16.675,89.7090909090909,39.50909090909091,,,68.01,10.0,44.54666666666667,61.6,75.0,39.57272727272727,,80.25,44.263333333333335,4.371428571428572,5.914285714285715,0.0,12.5,,0.0,4.457142857142857,20342.0,2461.0,9408.0,1390.0,322.0,0.0,81.0,4.0,0.0,0.0,259.0,66.0,Accomack County,Virginia,1.0
Idaho,Ada County,95.4470588235294,40.65294117647059,96.01764705882353,41.11764705882353,84.87333333333332,23.346666666666668,85.79375,26.1125,91.30625,60.25625,98.52727272727272,27.354545454545452,80.63529411764705,29.341176470588238,63.51176470588236,56.77058823529412,57.8,66.1375,50.083333333333336,68.49411764705883,63.2235294117647,3.511764705882353,9.358823529411765,6.86875,2.05,15.02222222222222,5.6117647058823525,3.511764705882353,420674.0,32402.0,5925.0,850.0,11786.0,744.0,2390.0,466.0,711.0,424.0,10459.0,2366.0,Ada County,Idaho,15.0
Iowa,Adair County,95.33571428571429,19.157142857142855,95.53571428571429,19.12857142857143,71.12,36.5,50.0,0.0,71.72,37.1,,,90.66,19.54,63.800000000000004,55.720000000000006,0.0,86.47999999999999,100.0,58.15,63.83571428571429,4.55,12.9,,0.0,0.0,20.0,4.371428571428571,27794.0,1543.0,184.0,16.0,215.0,0.0,1.0,11.0,7.0,0.0,128.0,21.0,Adair County,Iowa,3.0
Kentucky,Adair County,83.83636363636364,15.3,83.86363636363636,15.227272727272727,84.42,6.1,73.85,2.45,75.0,33.325,100.0,0.0,40.300000000000004,6.966666666666666,51.40909090909091,22.22,23.525,60.3,0.0,85.56666666666666,51.41818181818182,7.427272727272728,35.58,0.0,0.0,100.0,0.0,7.345454545454545,51773.0,3868.0,731.0,19.0,89.0,27.0,149.0,0.0,50.0,8.0,252.0,161.0,Adair County,Kentucky,2.0
Missouri,Adair County,90.53333333333333,18.0,90.6888888888889,18.288888888888888,99.575,6.2,91.675,35.175,98.85000000000001,63.666666666666664,50.0,50.0,100.0,0.0,47.58888888888889,56.7,35.925,45.9,50.0,50.0,48.62222222222223,4.588888888888889,0.0,0.0,0.0,0.0,0.0,4.611111111111111,24562.0,2337.0,799.0,169.0,552.0,46.0,72.0,0.0,8.0,0.0,9.0,32.0,,,
Oklahoma,Adair County,87.14999999999999,17.083333333333332,87.64999999999999,17.216666666666665,100.0,0.0,85.06666666666666,7.883333333333333,83.9,26.660000000000004,100.0,0.0,69.45,1.875,43.31666666666666,49.25,44.98333333333333,72.97999999999999,100.0,54.1,43.03333333333333,5.583333333333333,23.23333333333333,5.316666666666666,0.0,0.0,1.425,5.616666666666667,8275.0,1607.0,91.0,4.0,172.0,73.0,6438.0,3453.0,12.0,5.0,639.0,169.0,Adair County,Oklahoma,8.0
Colorado,Adams County,87.48648648648648,32.913513513513514,95.10833333333333,38.33888888888889,91.8,33.11176470588235,84.37714285714286,16.454285714285714,84.71212121212122,43.733333333333334,79.38695652173914,37.53913043478261,70.99444444444445,15.055555555555555,68.86486486486487,68.30285714285714,76.33055555555556,68.87272727272727,74.72500000000001,65.56944444444444,67.88055555555555,3.6972972972972977,5.55,2.8833333333333333,2.890909090909091,0.9523809523809523,5.405555555555555,3.572222222222222,578823.0,51073.0,52946.0,6009.0,36344.0,2387.0,7937.0,1256.0,1367.0,303.0,61099.0,17820.0,Adams County,Colorado,37.0
Idaho,Adams County,92.41666666666667,22.566666666666666,92.48333333333333,22.916666666666668,100.0,100.0,100.0,0.0,,,,,7.6,0.0,41.13333333333333,0.0,33.333333333333336,100.0,,92.4,41.43333333333333,6.2,,0.0,0.0,,0.0,6.3,10362.0,1351.0,6.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,1.0,48.0,Adams County,Idaho,9.0
