ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
601,70.3,16.3,85.9,60.6,52.5,29.0,100.0,100.0,100.0,100.0,-,-,63.3,21.7
602,61.9,20.0,76.3,29.0,61.3,3.2,100.0,54.5,100.0,100.0,-,-,73.8,25.3
603,75.9,24.0,90.8,49.1,69.6,24.7,100.0,28.1,32.1,32.1,-,-,75.3,23.1
606,57.9,8.3,29.0,0.0,100.0,0.0,-,-,-,-,-,-,58.0,10.5
610,69.8,22.1,63.1,23.6,60.2,7.0,100.0,100.0,-,-,-,-,79.3,17.4
611,63.7,29.5,100.0,45.0,100.0,100.0,-,-,-,-,-,-,63.4,8.4
612,80.0,29.5,100.0,23.3,87.1,27.8,100.0,100.0,89.9,31.2,-,-,79.1,26.3
616,72.5,16.5,100.0,100.0,93.3,20.1,-,-,65.0,50.4,-,-,71.8,16.2
617,77.1,26.2,86.4,66.0,74.2,6.7,100.0,0.0,100.0,48.7,-,-,80.9,16.7
622,72.3,24.4,77.6,77.6,62.8,8.2,-,-,-,-,-,-,71.8,19.3
623,79.9,29.7,100.0,24.5,73.1,17.4,90.4,12.8,73.3,15.8,-,-,76.4,30.2
624,73.9,24.7,100.0,0.0,76.9,38.5,-,-,100.0,0.0,-,-,72.3,19.8
627,71.2,20.9,100.0,33.1,70.0,21.1,100.0,100.0,-,-,-,-,72.7,20.4
631,64.9,30.4,-,-,0.0,0.0,-,-,-,-,-,-,60.5,25.6
636,69.8,16.4,-,-,-,-,-,-,-,-,-,-,85.8,49.5
637,81.1,28.3,100.0,6.8,79.2,17.8,26.6,0.0,100.0,0.0,-,-,65.2,18.7
638,65.2,14.9,44.6,8.4,75.1,9.9,86.8,69.8,23.2,0.0,-,-,78.1,26.4
641,75.6,21.7,85.5,37.4,69.9,48.5,-,-,0.0,0.0,-,-,72.3,20.0
646,80.8,32.4,83.1,51.1,75.5,17.1,100.0,0.0,-,-,-,-,89.9,41.4
647,72.7,11.9,100.0,0.0,94.7,22.7,-,-,100.0,100.0,-,-,83.1,19.4
650,74.7,20.1,100.0,46.2,58.0,27.2,-,-,0.0,0.0,-,-,81.2,10.0
652,75.7,22.4,80.0,0.0,100.0,41.2,100.0,0.0,100.0,0.0,-,-,81.6,29.0
