ZIP Code,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic
601,33.8,54.6,0.0,87.0,-,28.1,19.7,20.1,11.0,100.0,0.0,-,39.5,0.0
602,32.3,39.1,0.0,62.5,-,37.9,45.1,10.0,10.7,-,0.0,-,3.3,2.1
603,31.6,29.3,0.0,67.9,-,34.6,54.3,17.6,14.6,-,0.0,-,15.5,0.0
606,25.8,0.0,-,-,-,31.7,0.0,9.1,-,-,-,-,0.0,-
610,39.6,35.2,0.0,-,-,32.9,53.2,7.9,0.0,-,-,-,20.0,15.4
611,39.5,0.0,-,-,-,49.9,45.0,31.1,-,-,-,-,0.0,0.0
612,36.3,22.4,0.0,43.7,-,30.6,22.2,16.1,33.3,-,20.3,-,20.9,0.0
616,37.7,27.6,-,23.1,-,34.8,100.0,15.5,13.3,-,0.0,-,13.2,0.0
617,37.6,34.7,0.0,56.8,-,44.0,86.4,16.1,23.5,-,0.0,-,16.4,0.0
622,32.1,40.7,-,-,-,32.7,64.5,13.9,41.7,-,-,-,10.5,0.0
623,41.4,40.3,16.9,49.0,-,36.6,24.5,13.6,17.6,41.2,15.8,-,15.7,0.0
624,35.9,40.1,-,0.0,-,28.7,79.4,10.8,16.1,-,-,-,15.6,0.0
627,37.9,41.6,72.1,-,-,41.7,36.4,5.6,12.2,0.0,-,-,0.0,0.0
631,29.4,0.0,-,-,-,18.6,-,18.2,-,-,-,-,0.0,-
636,32.8,-,-,-,-,52.1,-,0.0,-,-,-,-,0.0,-
637,34.0,39.6,0.0,0.0,-,29.7,8.4,6.6,0.0,100.0,-,-,20.8,0.0
638,27.9,21.2,13.2,0.0,-,35.1,0.0,25.9,8.4,0.0,100.0,-,4.9,100.0
641,30.9,43.8,-,0.0,-,23.2,59.3,25.6,34.2,-,-,-,34.2,8.0
646,40.8,44.3,0.0,-,-,59.4,50.3,16.5,13.3,-,-,-,6.2,11.0
