hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
13532,603,330,17,3,20,10,4,0,0,987,129,601
17532,929,523,23,48,0,18,29,0,0,1414,57,602
33813,1985,1595,90,28,0,32,0,0,0,6115,531,603
3639,82,8,1,0,0,0,0,0,0,1545,14,606
10615,531,550,9,0,0,0,0,0,0,1435,191,610
699,66,14,0,0,0,0,0,0,0,440,38,611
21881,1608,1656,115,546,14,36,0,0,0,15675,1011,612
3270,233,590,36,125,22,0,0,0,0,2125,169,616
8108,377,715,38,360,0,38,0,0,0,3964,378,617
3301,97,263,149,0,0,0,0,0,0,2581,128,622
15776,564,1705,85,187,19,177,0,0,0,14527,1023,623
15386,647,562,30,25,0,0,0,0,0,3700,112,624
25190,1429,389,145,0,0,43,0,0,0,3359,58,627
1319,58,8,0,0,0,0,0,0,0,32,0,631
603,0,0,0,0,0,0,0,0,0,385,0,636
14048,639,123,0,11,0,79,0,0,0,5074,235,637
8768,246,522,70,69,8,247,0,0,0,1242,144,638
11309,605,304,9,19,0,0,0,0,0,9804,762,641
14894,1071,2109,148,0,0,10,0,0,0,1992,320,646
2249,88,249,38,4,0,0,0,0,0,1808,85,647
5901,342,77,0,186,0,0,0,0,0,2223,173,650
1520,70,74,0,26,23,20,18,0,0,432,39,652
5415,249,425,1,0,0,15,0,0,0,2238,32,653
13438,447,342,0,64,18,32,0,0,0,2651,169,656
26537,2235,1210,0,0,0,84,0,0,0,3554,46,659
3053,122,375,6,0,0,0,0,0,0,10671,358,660
20900,1457,2826,314,35,0,51,0,0,0,9298,599,662
7686,359,500,56,0,0,0,0,0,0,5390,401,664
9545,360,516,94,0,0,0,0,0,0,9644,638,667
22112,1772,611,10,0,0,15,0,0,0,1720,112,669
4843,25,192,5,0,0,0,0,0,0,2888,164,670
14816,1461,967,59,98,16,26,0,0,0,4601,745,674
26895,1125,1594,107,0,0,111,0,0,0,3767,247,676
5794,225,317,19,0,0,0,0,0,0,679,42,677
16579,765,842,51,0,0,79,0,0,0,3377,214,678
6787,412,913,56,33,0,20,0,0,0,30722,1073,680
4446,389,817,30,0,5,5,0,0,0,21518,752,682
18289,620,274,65,8,0,0,0,34,0,7042,713,683
27798,1380,1052,70,21,0,25,0,0,0,5809,452,685
11883,611,1067,111,0,0,0,0,0,0,2564,345,687
2696,326,144,0,111,0,0,0,0,0,5413,598,688
3860,160,172,32,0,0,0,0,0,0,465,33,690
10520,490,2108,128,0,0,0,0,0,0,7547,668,692
19676,2712,2609,103,0,0,0,0,0,0,8627,1085,693
0,0,0,0,0,0,0,0,0,0,25,0,694
23330,1324,858,51,0,0,28,0,0,0,4870,176,698
9594,340,1576,74,0,0,352,0,0,0,4402,161,703
1740,307,1209,128,0,0,0,0,0,0,580,0,704
8171,455,2231,110,0,0,131,0,0,0,1243,14,705
926,40,3581,259,0,0,0,0,0,0,4708,296,707
8085,337,2910,181,0,0,0,0,0,0,1947,91,714
779,22,173,3,0,0,0,0,0,0,232,0,715
14435,739,1560,93,20,0,41,0,0,0,2294,111,716
7608,327,811,97,0,16,91,0,0,0,1500,103,717
7132,737,375,27,23,0,0,0,0,0,12616,844,718
12764,832,2226,59,0,1,0,0,0,0,1220,199,719
9174,505,940,88,0,0,54,0,0,0,2610,165,720
984,64,5157,412,0,0,0,0,0,0,8374,322,723
40000,2685,6311,439,155,15,235,23,0,0,14708,858,725
27530,1547,4576,355,256,0,102,0,0,0,10271,527,727
21222,1189,2182,124,44,0,33,0,0,0,3917,288,728
12753,1162,5874,913,148,171,37,0,0,0,15959,2328,729
14201,1018,1304,167,0,0,7,0,0,0,1983,68,730
5026,446,622,26,0,0,0,0,0,0,407,0,731
2890,76,616,20,54,0,42,0,0,0,5483,499,735
16736,1107,3739,377,0,71,275,0,0,0,9099,411,736
8524,607,1852,162,47,0,16,0,0,0,9029,777,738
13262,512,3744,195,30,0,197,0,0,0,7514,875,739
639,41,88,0,0,0,0,0,0,0,788,11,740
592,59,324,45,0,0,0,0,0,0,2198,199,741
11818,1096,5248,336,169,0,130,0,0,0,14511,1180,745
4962,430,3239,338,0,0,35,9,0,0,934,84,751
4160,295,9419,873,76,36,0,0,0,0,18520,1165,754
