County,State,MUAP_Code,MUAP_Service_Area,MUAP_Status,Designation_Date,MUAP_Update_Date,MUAP_Withdrawal_Date,IMU_Score,Population_Type,MUAP_Component_Geo_Name,MUAP_Component_Geo_Type_Code,Pct_Pop_Below_Poverty,Poverty_IMU_Score,Pct_Pop_65_Over,Pop_65_Over_IMU_Score,Infant_Mortality_Rate,Infant_Mortality_IMU_Score,MUAP_Designation_Population,MUAP_Total_Resident_Population,Providers_per_1000,Provider_Ratio_per_1000,Provider_Ratio_IMU_Score,MUA_count
Bexar County,Texas,48029180101,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1801.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180604,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1806.04,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029180800,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1808,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029190501,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1905.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160100,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1601,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171000,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1710,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160502,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1605.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029160501,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1605.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029170800,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1708,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171301,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1713.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171302,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1713.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171401,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1714.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171402,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1714.02,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
Bexar County,Texas,48029171501,Bexar-San Antonio West,Designated,11/19/19,11/19/19,,57.0,Medically Underserved Area,1715.01,CT,30.9,6.6,12.4,19.1,6.2,26.0,216410.0,,0.27,,5.7,1
